id,product_id,name,item_id,review_count,vendor_name,price,original_price,candidate_price,discount_rate,product_rating,category,shipping_fee,shipping_days,created_at
2822,7711638752,"토코보 비타 글레이즈드 립 마스크 20ml, 1개입, 1개",20673288380,1329,다모아마켓,7880,0,7880,0,5,뷰티 > 스킨케어 > 마스크/팩 > 패치/코팩 > 기타패치,0,1,2026-01-25 14:43:07.747778+00
2823,7733091736,"LAMY 사파리 샤프 챠콜 + 하드케이스 + 리플렛, 0.5mm, 1개",20784869087,1285,기가철물,15060,0,15060,0,5,문구/오피스 > 학용품/수업준비 > 학년별 준비물 > 초등 고학년 > 샤프,0,1,2026-01-25 14:43:07.747778+00
2824,7735337888,"종근당건강 원데이21 멀티비타민 앤 미네랄, 60정, 2개",21135423313,55664,하이후팡 주식회사,16750,0,16750,0,5,식품 > 식품 선물세트 > 건강 > 비타민/건강식품,0,5,2026-01-25 14:43:07.747778+00
2825,7751139469,잘풀리는집 3겹 클래식 화장지,23153283101,128339,지나백,28900,0,28900,0,5,싱글라이프 > 세제/화장지 > 화장지 > 고급롤화장지(3겹이상),0,4,2026-01-25 14:43:07.747778+00
2826,7789874399,하루종일 착용해도 편안한 오픈형 블루투스 이어폰 피스넷 사운드핏 / 강력한 통화품질 / 골전도 대체,23343019443,1107,삼지아이티(주),39100,0,39100,0,4.5,가전디지털 > 음향기기 > 이어폰 > 블루투스 이어폰,0,0,2026-01-25 14:43:07.747778+00
2827,7791839773,레고 닌자고 카이의 엘리멘탈 파이어 로봇 71808,21082636233,576,BOT,35000,0,35000,0,5,완구/취미 > 블록놀이 > 레고 > 레고,0,1,2026-01-25 14:43:07.747778+00
2828,7831019908,"더마틱스 울트라 겔, 1개, 7g",14007761420,8411,레이나트레이드 유한회사,6400,0,6400,0,4.5,생활용품 > 건강/의료용품 > 의약외품/상비용품 > 상처소독/연고,0,4,2026-01-25 14:43:07.747778+00
2829,7844025169,"닥터엘시아 345 릴리프 크림, 50ml, 1개",24969849374,1165,부산스토어,29900,0,29900,0,4.5,쿠팡수입 > 뷰티 > 스킨케어 > 크림/올인원 > 페이셜크림,0,1,2026-01-25 14:43:07.747778+00
2830,7847571181,"앵커버터 무염 454G, 1개",18062239830,21262,엔씨앤비주식회사,25900,0,25900,0,5,식품 > 사과식초/땅콩버터 외 > 유제품/치즈/버터 > 버터/마가린 > 버터,0,3,2026-01-25 14:43:07.747778+00
2831,7870385859,"바니랜드 산리오 피규어 키링, 마이멜로디, 1개",21498366428,517,패스트몰,12900,0,12900,0,5,생활용품 > 생활잡화 > 기타생활용품 > 열쇠고리,0,1,2026-01-25 14:43:07.747778+00
2832,7883979533,"퍼실 딥클린 라벤더젤 드럼/일반 겸용 라벤더코튼향 액상세제 본품, 2.7L, 4개",20199746296,8888,문스토어,25000,0,25000,0,5,생활용품 > 세탁세제 > 액체세제,0,4,2026-01-25 14:43:07.747778+00
2833,7888552037,"완화 팩 수분 보습 리얼 딥 마스크 34g, 8개입, 1개",27457048513,1870,루춘컴퍼니 유한회사,29870,0,29870,13,4.5,R.LUX > 뷰티 > 스킨케어 > 스킨케어 > 마스크/팩 > 시트마스크,0,4,2026-01-25 14:43:07.747778+00
2834,7920526561,"쓰리엠 프로그립 3000 장갑, 그레이(M), 2개",27475237279,15363,세티나플렉스,40000,0,40000,0,5,생활용품 > 안전/호신용품 > 목장갑/안전장갑 > 절연장갑/안전장갑,0,3,2026-01-25 14:43:07.747778+00
2835,7958974,"농심 신라면 120g 40봉 매운 봉지라면 간식, 40개",18104394059,757266,(주)우리홈쇼핑(롯데아이몰),33800,34800,33800,10,5,싱글라이프 > 즉석식품/라면 > 라면/파스타/면 > 라면/컵면 > 봉지라면,0,2,2026-01-25 14:43:07.747778+00
2836,7961588696,"네이처하이크 NH LD150 초경량 코튼 침낭, 화이트, 1개",22012569924,110,도시플랜,25000,0,25000,0,5,스포츠/레저 > 캠핑전문관 > 침낭/매트/해먹 > 침낭/침낭소품 > 침낭,0,1,2026-01-25 14:43:07.747778+00
2837,7978337946,"디폰데 시그니처 멜라엔드 선블럭50ml, 1개, 50ml",26408648014,125,둥글컴퍼니,39570,0,39570,0,4.5,뷰티 > 선케어/태닝 > 선케어 > 선케어/선크림/선로션,0,1,2026-01-25 14:43:07.747778+00
2838,8005721342,"질레트 정품 프로쉴드 옐로우 매뉴얼 면도기 핸들 + 면도날 2p 세트, 2세트",22314928501,4993,빠스트1,26900,0,26900,0,5,생활용품 > 구강/면도 > 면도기/날 > 날면도기,0,1,2026-01-25 14:43:07.747778+00
2839,8075108566,크록스 비아 클로그 샌들,22745540144,2427,Coupang,34900,0,34900,0,4.5,패션의류/잡화 > 여성패션 > 신발 > 샌들,0,5,2026-01-25 14:43:07.747778+00
2840,8082395779,"바니랜드 헬로키티 피규어 키링, 1개",22797200139,147,이공사보,7500,0,7500,0,5,완구/취미 > 피규어/다이캐스트 > 애니메이션피규어,0,5,2026-01-25 14:43:07.747778+00
2841,8082654809,KONLI 노이즈 캔슬링 커널형 무선 블루투스 이어폰 방수,22798183173,6201,왕샤오화이커머스 유한회사,19900,0,19900,0,4.5,가전디지털 > 음향기기 > 이어폰 > 블루투스 이어폰,0,1,2026-01-25 14:43:07.747778+00
