vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
광동제약(주)(본사직영),4.9,0.30779350562554625,0.0,587.05,0.0,0.2,0.4444444444444444,20,20.0,19.0,0.05263157894736842,0.0,0.0,19.0,0.95,0.0,0.7392857142857142,0.9750000000000001,0.23571428571428588,1,1,3
구일종합식품(주),4.65,0.7451598203705946,0.0,515.95,0.0,0.1,0.3125,20,20.0,12.0,0.0,0.0,0.0,12.0,0.6,0.0,0.7454329004329004,0.9125000000000001,0.16706709956709964,1,1,3
굿프렌즈,3.1,1.1005049346146119,0.3,61.5,2.1818181818181817,0.0,0.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.525,0.025000000000000022,1,1,3
그릿,4.0,0.0,0.0,765.6666666666666,0.0,0.0,0.0,3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.75,0.02777777777777779,2,1,3
금수성 유한회사,4.0,0.0,0.0,51.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
꿈꾸는 주방,3.0,1.4142135623730951,0.5,65.0,0.0,0.0,0.0,2,2.0,4.0,0.25,0.25,0.0,4.0,2.0,0.0,0.75,0.5,0.25,1,1,4
노빈라이트 유한회사,2.4,1.3416407864998738,0.4,211.0,0.16666666666666666,0.2,0.0,5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764705882352942,0.35,0.3264705882352942,4,1,4
뉴다팜,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1,1,3
뉴트리건강,4.9,0.44721359549995787,0.0,528.85,0.0,0.05,0.42105263157894735,20,20.0,14.0,0.07142857142857142,0.0,0.0,14.0,0.7,0.0,0.7591765873015873,0.9750000000000001,0.21582341269841276,1,1,3
다담마,4.0,0.0,0.0,940.5,0.0,0.5,0.0,2,2.0,2.0,0.5,0.0,0.5,2.0,1.0,0.0,0.7045454545454546,0.75,0.045454545454545414,1,1,3
다베로,4.0,0.0,0.0,984.5,0.0,0.0,0.0,2,2.0,13.0,0.0,0.0,0.0,13.0,6.5,0.0,0.7708333333333333,0.75,0.02083333333333326,1,1,4
다소니아,4.761904761904762,0.7003400534570262,0.047619047619047616,435.2857142857143,0.07142857142857142,0.19047619047619047,0.4444444444444444,21,21.0,3.0,0.0,0.0,0.0,3.0,0.14285714285714285,0.047619047619047616,0.7134920634920634,0.9404761904761905,0.22698412698412707,1,1,3
단이쿠 유한회사,4.0,0.0,0.0,1256.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,1,4
달리와마켓,4.0,0.0,0.0,216.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
더블유게러지,4.0,0.0,0.0,965.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.75,0.55,1,1,5
도시플랜,4.0,0.0,0.0,281.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,2,1,4
도해라,4.0,0.0,0.0,630.0,0.0,0.0,0.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.75,0.25,1,1,5
동일식품,4.0,0.0,0.0,118.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,5
둥글컴퍼니,3.25,0.9574271077563381,0.25,77.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.10416666666666663,1,1,3
디딩라이프,4.0,0.0,0.0,701.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,1,1,3
디스이스마인,3.6,0.5477225575051661,0.0,208.4,1.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.65,0.050000000000000044,1,1,3
디이노,4.0,0.0,0.0,651.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
디지털스토어,3.5,0.5773502691896257,0.0,875.5,0.0,0.25,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6160714285714286,0.625,0.008928571428571397,1,1,3
디포터,2.5,2.1213203435596424,0.5,263.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.375,0.375,1,1,4
라이트달고,4.0,0.0,0.0,1438.0,0.0,0.0,0.0,1,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.8888888888888888,0.75,0.13888888888888884,2,1,4
러블리본,4.0,0.0,0.0,758.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
로랜텍로지스,4.619047619047619,0.9734572654303051,0.047619047619047616,515.5238095238095,0.07692307692307693,0.2857142857142857,0.4117647058823529,21,21.0,14.0,0.0,0.14285714285714285,0.0,14.0,0.6666666666666666,0.0,0.7326465776926606,0.9047619047619047,0.17211532706924404,1,1,3
리웰생활과학(주),4.0,0.0,0.0,481.5,0.0,0.5,0.0,2,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.75,0.25,1,1,4
마운트빅 지엔씨,2.0,1.4142135623730951,0.5,712.0,0.0,0.5,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.25,0.6071428571428572,2,1,5
마이다스,1.0,0.0,1.0,242.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.5,0.0,0.5,1,1,6
말끔하게카,4.0,0.0,0.0,303.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.75,0.050000000000000044,1,1,3
메리하우스,1.375,0.5175491695067657,1.0,106.625,0.0,0.25,0.0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.37916666666666665,0.09375,0.28541666666666665,1,1,4
무드캐쳐,4.0,0.0,0.0,699.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.75,0.125,1,1,3
미라클직구,3.7142857142857144,0.48795003647426666,0.0,290.42857142857144,0.25,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857142857142857,0.6785714285714286,0.0071428571428571175,1,1,3
미스터수필,2.6,1.5165750888103102,0.4,484.4,0.0,0.6,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.61,0.4,0.20999999999999996,1,1,3
