vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
구일종합식품(주),4.65,0.7451598203705946,0.0,515.95,0.0,0.1,0.3125,20,20.0,15.0,0.0,0.0,0.0,15.0,0.75,0.1,0.9,0.9125000000000001,0.012500000000000067,1,0,2
굿프렌즈,3.1818181818181817,1.0787197799411874,0.2727272727272727,61.54545454545455,2.75,0.0,0.0,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5454545454545454,0.4545454545454546,1,0,2
그릿,4.0,0.0,0.0,765.6666666666666,0.0,0.0,0.0,3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,0,2
금수성 유한회사,4.0,0.0,0.0,51.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
꿈꾸는 주방,3.0,1.4142135623730951,0.5,65.0,0.0,0.0,0.0,2,2.0,4.0,0.25,0.25,0.0,4.0,2.0,0.0,1.0,0.5,0.5,1,1,4
노빈라이트 유한회사,2.4,1.3416407864998738,0.4,211.0,0.16666666666666666,0.2,0.0,5,1.25,1.0,0.0,0.0,1.0,0.25,0.2,0.2,0.8,0.35,0.45000000000000007,4,0,2
뉴다팜,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
뉴트리건강,4.9,0.44721359549995787,0.0,528.85,0.0,0.05,0.42105263157894735,20,20.0,16.0,0.0625,0.0,0.0,16.0,0.8,0.05,0.95,0.9750000000000001,0.025000000000000133,1,0,2
다담마,4.0,0.0,0.0,940.5,0.0,0.5,0.0,2,2.0,4.0,0.25,0.0,0.25,4.0,2.0,0.5,0.5,0.75,0.25,1,1,4
다베로,4.0,0.0,0.0,984.5,0.0,0.0,0.0,2,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.75,0.25,1,1,3
다소니아,4.761904761904762,0.7003400534570262,0.047619047619047616,435.2857142857143,0.07142857142857142,0.19047619047619047,0.4444444444444444,21,21.0,5.0,0.0,0.0,0.0,5.0,0.23809523809523808,0.19047619047619047,0.8095238095238095,0.9404761904761905,0.13095238095238093,1,0,2
단이쿠 유한회사,4.0,0.0,0.0,1256.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,1,3
달리와마켓,4.0,0.0,0.0,216.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
더블유게러지,4.0,0.0,0.0,965.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
도시플랜,4.0,0.0,0.0,233.66666666666666,0.25,0.0,0.0,3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,0,2
도해라,4.0,0.0,0.0,630.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
동일식품,4.0,0.0,0.0,118.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,4
둥글컴퍼니,3.25,0.9574271077563381,0.25,77.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5625,0.4375,1,0,2
디딩라이프,4.0,0.0,0.0,701.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.25,1,1,3
디스이스마인,3.6,0.5477225575051661,0.0,208.4,1.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,0.35,1,0,2
디이노,4.0,0.0,0.0,651.0,0.0,0.0,0.0,1,1.0,6.0,0.0,0.0,0.16666666666666666,6.0,6.0,0.0,1.0,0.75,0.25,1,1,4
디지털스토어,3.5,0.5773502691896257,0.0,875.5,0.0,0.25,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.625,0.125,1,0,2
디포터,2.5,2.1213203435596424,0.5,263.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.375,0.125,1,1,3
라이트달고,4.0,0.0,0.0,1438.0,0.0,0.0,0.0,1,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.75,0.25,2,1,3
러블리본,4.0,0.0,0.0,758.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
로랜텍로지스,4.619047619047619,0.9734572654303051,0.047619047619047616,515.5238095238095,0.07692307692307693,0.2857142857142857,0.4117647058823529,21,21.0,15.0,0.0,0.13333333333333333,0.0,15.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.9047619047619047,0.19047619047619035,1,0,2
리웰생활과학(주),4.0,0.0,0.0,481.5,0.0,0.5,0.0,2,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.5,0.5,0.75,0.25,1,1,4
마운트빅 지엔씨,2.0,1.4142135623730951,0.5,712.0,0.0,0.5,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,2,1,4
마이다스,1.0,0.0,1.0,242.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1,1,5
말끔하게카,4.0,0.0,0.0,303.5,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.25,1,1,3
메리하우스,1.375,0.5175491695067657,1.0,106.625,0.0,0.25,0.0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.09375,0.65625,1,1,3
무드캐쳐,4.0,0.0,0.0,699.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
미라클직구,3.7142857142857144,0.48795003647426666,0.0,290.42857142857144,0.25,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6785714285714286,0.3214285714285714,1,0,2
미스터수필,2.6,1.5165750888103102,0.4,484.4,0.0,0.6,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.0,1,1,3
바이윤,2.1666666666666665,0.9374368665610922,0.5,130.66666666666666,0.46153846153846156,0.5,0.0,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.29166666666666663,0.20833333333333337,1,1,3
백무,4.0,0.0,0.0,669.0,0.0,0.0,0.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.75,0.25,1,1,4
베스트 명품,3.0,0.0,0.0,868.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,1,4
부산스토어,4.0,0.0,0.0,312.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
부영 마켓플레이스,3.0,0.0,0.0,96.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1,1,4
부영 인터네셔널,4.0,0.0,0.0,690.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,1,3
뷰티스마일,4.0,0.0,0.0,497.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
브랜드셀러,4.0,0.0,0.0,600.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
브릭홈,4.0,0.0,0.0,44.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,3
브이오라,4.0,0.0,0.0,800.0,0.0,0.5,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.25,1,1,3
비비드라인,2.7142857142857144,1.6035674514745462,0.42857142857142855,287.0,0.125,0.2857142857142857,0.0,7,7.0,1.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.2857142857142857,1,0,2
비엔컴퍼니 주식회사,4.0,0.0,0.0,342.3333333333333,0.42857142857142855,0.0,0.0,6,6.0,3.0,0.0,0.3333333333333333,0.0,3.0,0.5,0.0,1.0,0.75,0.25,1,0,2
빠스트1,4.0,0.0,0.0,582.5,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,2,1,3
사만컴퍼니,4.0,0.0,0.0,182.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
삼지아이티(주),4.0,0.0,0.0,60.0,0.25,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
소아이카 유한회사,4.0,0.0,0.0,302.6666666666667,0.25,0.6666666666666666,0.0,3,3.0,4.0,0.0,0.0,0.0,4.0,1.3333333333333333,0.6666666666666666,0.33333333333333337,0.75,0.41666666666666663,1,1,3
소윤스텔라,3.3333333333333335,1.1547005383792515,0.3333333333333333,16.666666666666668,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0.41666666666666663,1,0,2
슈퍼마아켓,4.0,0.0,0.0,57.0,0.4,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,0,2
스마트딜 공식몰,4.0,0.0,0.0,1165.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,1,1,5
시벅스-PC,4.0,0.0,0.0,716.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,4
시크픽23,3.0,1.7320508075688772,0.3333333333333333,321.3333333333333,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,1,3
